PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;Prudential Standard CPS 234 (Information Security) requires APRA-regulated entities to maintain information security commensurate with the size and extent of threats to their information assets. This framework maps the operative requirements of CPS 234 (paragraphs 13-36, July 2019) to AWS controls verifiable with Prowler. Paragraph references are taken from the official APRA CPS 234 standard. Governance and process obligations that cannot be observed via AWS APIs are marked Manual.;123456789012;ap-southeast-2;2026-06-06 18:26:25.671606;cps234-21-access-control;An APRA-regulated entity must have information security controls to protect its information assets, implemented in a timely manner and commensurate with vulnerabilities and threats, asset criticality and sensitivity, life-cycle stage, and potential consequences - including identity and access management enforcing least privilege.;Implementation of controls;;;;;FAIL;IAM Access Analyzer in account 123456789012 is not enabled.;arn:aws:accessanalyzer:ap-southeast-2:123456789012:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;APRA-CPS-234;APRA CPS 234 Information Security;
aws;Prudential Standard CPS 234 (Information Security) requires APRA-regulated entities to maintain information security commensurate with the size and extent of threats to their information assets. This framework maps the operative requirements of CPS 234 (paragraphs 13-36, July 2019) to AWS controls verifiable with Prowler. Paragraph references are taken from the official APRA CPS 234 standard. Governance and process obligations that cannot be observed via AWS APIs are marked Manual.;123456789012;ap-southeast-2;2026-06-06 18:26:25.671606;cps234-21-backups;Implementation of controls (paragraph 21): protect the availability of information assets, including backup and recovery controls.;Implementation of controls;;;;;FAIL;No Backup Vault exist.;arn:aws:backup:ap-southeast-2:123456789012:backup-vault;backup_vaults_exist;False;123456789012;APRA-CPS-234;APRA CPS 234 Information Security;
aws;Prudential Standard CPS 234 (Information Security) requires APRA-regulated entities to maintain information security commensurate with the size and extent of threats to their information assets. This framework maps the operative requirements of CPS 234 (paragraphs 13-36, July 2019) to AWS controls verifiable with Prowler. Paragraph references are taken from the official APRA CPS 234 standard. Governance and process obligations that cannot be observed via AWS APIs are marked Manual.;123456789012;ap-southeast-2;2026-06-06 18:26:25.671606;cps234-21-logging;Implementation of controls (paragraph 21): audit logging to support the detection of, and response to, information security incidents and to provide an audit trail.;Implementation of controls;;;;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-southeast-2:123456789012:trail;cloudtrail_multi_region_enabled;False;123456789012;APRA-CPS-234;APRA CPS 234 Information Security;
aws;Prudential Standard CPS 234 (Information Security) requires APRA-regulated entities to maintain information security commensurate with the size and extent of threats to their information assets. This framework maps the operative requirements of CPS 234 (paragraphs 13-36, July 2019) to AWS controls verifiable with Prowler. Paragraph references are taken from the official APRA CPS 234 standard. Governance and process obligations that cannot be observed via AWS APIs are marked Manual.;123456789012;ap-southeast-2;2026-06-06 18:26:25.671606;cps234-23-incident-detection;An APRA-regulated entity must have robust mechanisms in place to detect and respond to information security incidents in a timely manner, including alerting on anomalous and unauthorised activity.;Incident management;;;;;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:ap-southeast-2:123456789012:log-group;cloudwatch_log_metric_filter_authentication_failures;False;123456789012;APRA-CPS-234;APRA CPS 234 Information Security;
aws;Prudential Standard CPS 234 (Information Security) requires APRA-regulated entities to maintain information security commensurate with the size and extent of threats to their information assets. This framework maps the operative requirements of CPS 234 (paragraphs 13-36, July 2019) to AWS controls verifiable with Prowler. Paragraph references are taken from the official APRA CPS 234 standard. Governance and process obligations that cannot be observed via AWS APIs are marked Manual.;123456789012;ap-southeast-2;2026-06-06 18:26:25.671606;cps234-23-incident-detection;An APRA-regulated entity must have robust mechanisms in place to detect and respond to information security incidents in a timely manner, including alerting on anomalous and unauthorised activity.;Incident management;;;;;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:ap-southeast-2:123456789012:log-group;cloudwatch_log_metric_filter_root_usage;False;123456789012;APRA-CPS-234;APRA CPS 234 Information Security;
aws;Prudential Standard CPS 234 (Information Security) requires APRA-regulated entities to maintain information security commensurate with the size and extent of threats to their information assets. This framework maps the operative requirements of CPS 234 (paragraphs 13-36, July 2019) to AWS controls verifiable with Prowler. Paragraph references are taken from the official APRA CPS 234 standard. Governance and process obligations that cannot be observed via AWS APIs are marked Manual.;123456789012;ap-southeast-2;2026-06-06 18:26:25.671606;cps234-23-incident-detection;An APRA-regulated entity must have robust mechanisms in place to detect and respond to information security incidents in a timely manner, including alerting on anomalous and unauthorised activity.;Incident management;;;;;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:ap-southeast-2:123456789012:log-group;cloudwatch_log_metric_filter_sign_in_without_mfa;False;123456789012;APRA-CPS-234;APRA CPS 234 Information Security;
aws;Prudential Standard CPS 234 (Information Security) requires APRA-regulated entities to maintain information security commensurate with the size and extent of threats to their information assets. This framework maps the operative requirements of CPS 234 (paragraphs 13-36, July 2019) to AWS controls verifiable with Prowler. Paragraph references are taken from the official APRA CPS 234 standard. Governance and process obligations that cannot be observed via AWS APIs are marked Manual.;123456789012;ap-southeast-2;2026-06-06 18:26:25.671606;cps234-23-incident-detection;An APRA-regulated entity must have robust mechanisms in place to detect and respond to information security incidents in a timely manner, including alerting on anomalous and unauthorised activity.;Incident management;;;;;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:ap-southeast-2:123456789012:log-group;cloudwatch_log_metric_filter_unauthorized_api_calls;False;123456789012;APRA-CPS-234;APRA CPS 234 Information Security;
aws;Prudential Standard CPS 234 (Information Security) requires APRA-regulated entities to maintain information security commensurate with the size and extent of threats to their information assets. This framework maps the operative requirements of CPS 234 (paragraphs 13-36, July 2019) to AWS controls verifiable with Prowler. Paragraph references are taken from the official APRA CPS 234 standard. Governance and process obligations that cannot be observed via AWS APIs are marked Manual.;123456789012;ap-southeast-2;2026-06-06 18:26:25.671606;cps234-21-logging;Implementation of controls (paragraph 21): audit logging to support the detection of, and response to, information security incidents and to provide an audit trail.;Implementation of controls;;;;;FAIL;AWS Config recorder 123456789012 is disabled.;arn:aws:config:ap-southeast-2:123456789012:recorder;config_recorder_all_regions_enabled;False;123456789012;APRA-CPS-234;APRA CPS 234 Information Security;
aws;Prudential Standard CPS 234 (Information Security) requires APRA-regulated entities to maintain information security commensurate with the size and extent of threats to their information assets. This framework maps the operative requirements of CPS 234 (paragraphs 13-36, July 2019) to AWS controls verifiable with Prowler. Paragraph references are taken from the official APRA CPS 234 standard. Governance and process obligations that cannot be observed via AWS APIs are marked Manual.;123456789012;ap-southeast-2;2026-06-06 18:26:25.671606;cps234-21-threat-detection;Implementation of controls (paragraph 21): detective controls capable of identifying information security incidents in a timely manner.;Implementation of controls;;;;;FAIL;GuardDuty is not enabled.;arn:aws:guardduty:ap-southeast-2:123456789012:detector/unknown;guardduty_is_enabled;False;detector/unknown;APRA-CPS-234;APRA CPS 234 Information Security;
aws;Prudential Standard CPS 234 (Information Security) requires APRA-regulated entities to maintain information security commensurate with the size and extent of threats to their information assets. This framework maps the operative requirements of CPS 234 (paragraphs 13-36, July 2019) to AWS controls verifiable with Prowler. Paragraph references are taken from the official APRA CPS 234 standard. Governance and process obligations that cannot be observed via AWS APIs are marked Manual.;123456789012;ap-southeast-2;2026-06-06 18:26:25.671606;cps234-21-access-control;An APRA-regulated entity must have information security controls to protect its information assets, implemented in a timely manner and commensurate with vulnerabilities and threats, asset criticality and sensitivity, life-cycle stage, and potential consequences - including identity and access management enforcing least privilege.;Implementation of controls;;;;;PASS;AWS policy AWSApplicationAutoscalingECSServicePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/AWSApplicationAutoscalingECSServicePolicy;iam_aws_attached_policy_no_administrative_privileges;False;AWSApplicationAutoscalingECSServicePolicy;APRA-CPS-234;APRA CPS 234 Information Security;
